Gene$tnf-alpha	21926
Chemical$ketone bodies	MESH:D007657
Gene$cyp1a1	24296
Species$grapes	-
Chemical$18f-fdg	MESH:D019788
Chemical$polyphenols	MESH:D059808
Species$lemon balm	-
Gene$iga	973
Disease$crisis	MESH:D001752
Gene$neutrophil elastase	1991
ProteinMutation$l55m	tmVar:p|SUB|L|55|M;HGVS:p.L55M;VariantGroup:1;CorrespondingGene:5444;RS#:854560;CorrespondingSpecies:9606;CA#:123413
Disease$tuberculosis	MESH:D014376
Chemical$disulphide	-
Gene$iglv3-19	28797
Gene$cav1	25404
Disease$and disease	MESH:D004194
Disease$neural damage	MESH:D015441
Disease$oncologic	MESH:D000072716
Gene$coa ligase	-
Gene$ifn alpha, gamma and lambda	3439;3458
Chemical$polyunsaturated fatty acid	MESH:D005231
Species$sars-cov-2 virus	-
Species$b. aeruginosa	1038079
Gene$angiotensin-converting enzyme ii	-
Chemical$sesquiterpenoids lactones	-
Disease$severe acute respiratory syndrome-related coronavirus 2 (sars-cov-2) infection	MESH:D000086382
Gene$toll-like receptor 4	7099
Disease$amyloidogenesis	-
Disease$systemic and lung inflammation	MESH:D011014
Gene$melittin	-
Species$vitis vinifera	29760
Disease$musculoskeletal disorders	MESH:D009140
Disease$viremia	MESH:D014766
Gene$lipoprotein-associated phospholipase a2	7941
Gene$ahr	11622
Disease$kidney dysfunction	MESH:D007674
Gene$tg-c	7052
Gene$mir-223-	407008
Gene$galectin-3	3958
Chemical$luminol	MESH:D008165
CellLine$mrc-5	CVCL:0440
Disease$multiple sclerosis	MESH:D009103
Gene$trialkylsulfonium hydrolase	-
Gene$mapk14	1432
Disease$morbid obesity	MESH:D009767
Disease$tissue damage	MESH:D017695
Species$lonicerae japonicae flos	-
Disease$carcinogenesis	MESH:D063646
Chemical$pgx	MESH:D011464
Disease$aortic aneurysms	MESH:D001014
Chemical$, palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine	-
Chemical$rhizoma polygonati	-
Chemical$lycopene	MESH:D000077276
Gene$tnfsf12	8742
Disease$eating disorders	MESH:D001068
Chemical$diazinon	MESH:D003976
Disease$acute myocardial infarction	MESH:D009203
Chemical$acylcarnitines	MESH:C116917
Chemical$quinones	MESH:D011809
Disease$acute pericarditis	MESH:D010493
Species$hsa	1884613
Disease$weight loss	MESH:D015431
Species$grape	-
Gene$mapk1	5594
Gene$il10	3586
Gene$serum albumin	213
Gene$cd14	697482
Chemical$osi	-
Chemical$chisel	-
Gene$s-protein	7448
Chemical$compounds	-
Disease$embryo	MESH:D020964
Gene$defa3	1668
Disease$myocarditis	MESH:D009205
Gene$myeloperoxidase	17523
Gene$transmembrane serine protease 2	7113
Gene$scavenger receptor class b type 1	949
Chemical$ticagrelor	MESH:D000077486
Disease$brain cancer	MESH:D001932
Gene$phospholipase a2	5319
Gene$apc	324
Disease$systemic lupus erythematosus	MESH:D008180
Disease$complement	MESH:D007153
Gene$ifi35	70110
Chemical$quercetin-3-o-neohesperidoside	-
Chemical$d-4f	-
Chemical$oxpl	-
Gene$apoh	350
Disease$proinflammatory	-
Gene$hif-1alpha	3091
Disease$dyspnoea	-
Disease$depressive disorders	MESH:D003866
Chemical$dep	-
Disease$hepatotoxicity	-
Chemical$organophosphates	MESH:D010755
Gene$apolipoprotein a-i	30355
Disease$inflammatory airway diseases	MESH:D007249
Gene$apolipoprotein e	348
Disease$diphtheria	MESH:D004165
Species$a. vulgaris	-
Gene$hsp27	3315
Gene$selenoprotein p	6414
Chemical$anthocyanins	MESH:D000872
Gene$phospholipid transfer protein	5360
Gene$lox-1	4973
Chemical$bile acids	MESH:D001647
Disease$liver homeostasis and disease	MESH:D008107
Chemical$urea	MESH:D014508
Disease$coronary artery disease	MESH:D003324
Disease$metabolic and vascular diseases	MESH:D014652
Disease$drug	MESH:D000081015
Disease$mental disease	MESH:D008607
Gene$jnk	5599
Disease$gestational diabetes mellitus	MESH:D016640
Gene$bex2	84707
Gene$heat shock protein 60	282676
Disease$neuroimmunotoxic	-
Species$green and black cumin	-
Chemical$hydroxytyrosol	MESH:C005975
Disease$lymphopenia	MESH:D008231
Chemical$heme	MESH:D006418
Disease$vitreoretinal diseases	MESH:D012164
Gene$gli1	2735
Disease$autoimmune prothrombotic disease	MESH:D001327
Disease$influenza pandemic h1n1 infection	MESH:D007251
Gene$aryl hydrocarbon receptor	25690
Gene$heme oxygenase-1	3162
Chemical$oleuropein	MESH:C002769
Gene$cd16	720006
Disease$acute coronary syndrome	MESH:D054058
Chemical$polyethylene glycol	MESH:D011092
Disease$nephritis	MESH:D009393
Chemical$oldenlandia diffusa	-
Chemical$lipid rafts	-
Gene$mannan binding lectin serine protease 1	5648
Chemical$pvdf	MESH:C024865
Gene$beta-catenin	1499
Chemical$mercury	MESH:D008628
Chemical$herbal medications	-
Gene$transferrin receptor protein 1	7037
Gene$apolipoprotein a-i and a-ii	335;336
Chemical$dextran	MESH:D003911
Gene$complement c1r	715
Species$aronia melanocarpa	661339
Disease$mental and physical trauma	MESH:D000070617
Chemical$azoles	MESH:D001393
Disease$chronic obstructive pulmonary disease	MESH:D029424
Gene$cyp3a4	1576
Gene$mir-2113	100302164
Chemical$dithiol	MESH:C004848
Chemical$sugars	MESH:D000073893
Gene$apolipoproteins	-
Chemical$jin yin hua	-
Gene$ace2 receptors	-
Disease$skin cutaneous melanoma	MESH:C562393
Chemical$omega-3 polyunsaturated fatty acids	-
Species$coronaviruses	-
Gene$tgf-beta	21803
Gene$fibrinogen	2244
CellLine$vero e6	CVCL:0574
Disease$nephrotoxicity	-
Disease$paralysis	MESH:D010243
Species$artemisiae vulgaris herba	-
Chemical$chloroquine	MESH:D002738
Chemical$evans blue	MESH:D005070
Disease$-related	MESH:D019973
Gene$annexins ii and v	302;308
Disease$hdl dysfunction	MESH:D052456
Chemical$lutein,	MESH:D014975
Disease$organ damage	MESH:D000092124
Disease$non	MESH:C580335
Disease$banlangen	-
Disease$psycho-social	OMIM:300082
Gene$huwe1	10075
Disease$learning or neurodevelopmental disorder	MESH:D007859
Disease$psychiatric illness	MESH:D001523
Chemical$a. vulgaris herb extracts	-
Gene$hepatocyte nuclear factor 4 alpha	3172
Disease$prostate and pancreatic cancer	MESH:D011471
Species$humanity	-
Species$mtb) infection	-
Disease$chronic kidney disease	MESH:D051436
Disease$ts	MESH:D005879
Disease$nt	-
Species$lavender	39329
Chemical$alcohol	MESH:D000438
Disease$alcohol use	MESH:D000437
Disease$hodgkin lymphoma	MESH:D006689
Chemical$water	MESH:D014867
Gene$caspase-1	834
Disease$infectious and autoimmune disease	MESH:D003141
Chemical$lipid peroxides	MESH:D008054
Chemical$pegylated curcumin derivatives	-
Species$severe acute respiratory syndrome coronavirus	694009
Gene$itih2	3698
Disease$hereditary nonpolyposis colorectal cancer	MESH:D003123
Disease$breast cancer	MESH:D001943
Chemical$tamarixetin	MESH:C508967
Disease$non-hodgkin lymphoma	MESH:D008228
Disease$alcoholic and non-alcoholic fatty liver diseases	MESH:D065626
Gene$c-reactive protein	1401
Gene$cyp	9360
Disease$irritable bowel syndrome	MESH:D043183
Gene$hsp70	15511
Disease$h1n1	-
Disease$chronic rhinosinusitis	MESH:D000092562
Chemical$n-acetyl-l-leucine	MESH:C088117
Disease$idiopathic epiretinal membrane formation	MESH:D019773
Disease$cf	MESH:D003550
Gene$apolipoprotein a-ii	336
Chemical$trans-3-indoleacrylic acid	MESH:C001446
Disease$ischemic heart disease	MESH:D017202
Gene$ho-1	15368
Chemical$pectin	MESH:D010368
Disease$musculoskeletal, cardiovascular, gastrointestinal, renal, hepatic, and metabolic disorders	MESH:D024821
Species$human immunodeficiency virus	12721
Gene$fetuin-a	197
Chemical$pah	-
Gene$e3 ligase	-
Chemical$hdl-c.	-
Chemical$am extract	-
Gene$receptor for advanced glycation end products	-
Chemical$oleic acid	MESH:D019301
CellLine$huvec	CVCL:2959
Chemical$creatinine kinase	-
Chemical$s1p	-
Chemical$tetrapyrrole	MESH:D045725
Chemical$glutathione	MESH:D005978
Chemical$potentially toxic elements	-
Disease$thrombocytopenia	MESH:D013921
Chemical$tetrachlorvinphos	MESH:D013751
